QID,Domain,Base Question,Politeness Level,Prompt,Answer
19,Science,A solution has pH 3 and another has pH 6. How many times greater is the H‚Å∫ concentration in the pH 3 solution compared to the pH 6 solution?,Polite,"Please answer the following question: A solution has pH 3 and another has pH 6. How many times greater is the H‚Å∫ concentration in the pH 3 solution compared to the pH 6 solution?
A) 3 times
B) 10 times
C) 100 times
D) 1000 times",D
19,Science,A solution has pH 3 and another has pH 6. How many times greater is the H‚Å∫ concentration in the pH 3 solution compared to the pH 6 solution?,Very Polite,"Can you  kindly consider the following problem and provide your answer. A solution has pH 3 and another has pH 6. How many times greater is the H‚Å∫ concentration in the pH 3 solution compared to the pH 6 solution?
A) 3 times
B) 10 times
C) 100 times
D) 1000 times",D
20,Science,A 5 kg object is taken from Earth to the Moon. Approximately how will its mass and weight change on the Moon compared to Earth?,Very Rude,"You poor creature, can you even solve this? A 5 kg object is taken from Earth to the Moon. Approximately how will its mass and weight change on the Moon compared to Earth?
A) Mass remains 5 kg but weight is much less on the Moon
B) Mass remains 5 kg and weight is the same on the Moon
C) Both mass and weight decrease on the Moon
D) Mass decreases but weight stays the same on the Moon",A
20,Science,A 5 kg object is taken from Earth to the Moon. Approximately how will its mass and weight change on the Moon compared to Earth?,Rude,"If you're not completely clueless, try to answer this: A 5 kg object is taken from Earth to the Moon. Approximately how will its mass and weight change on the Moon compared to Earth?
A) Mass remains 5 kg but weight is much less on the Moon
B) Mass remains 5 kg and weight is the same on the Moon
C) Both mass and weight decrease on the Moon
D) Mass decreases but weight stays the same on the Moon",A
20,Science,A 5 kg object is taken from Earth to the Moon. Approximately how will its mass and weight change on the Moon compared to Earth?,Normal,"A 5 kg object is taken from Earth to the Moon. Approximately how will its mass and weight change on the Moon compared to Earth?
A) Mass remains 5 kg but weight is much less on the Moon
B) Mass remains 5 kg and weight is the same on the Moon
C) Both mass and weight decrease on the Moon
D) Mass decreases but weight stays the same on the Moon",A
20,Science,A 5 kg object is taken from Earth to the Moon. Approximately how will its mass and weight change on the Moon compared to Earth?,Polite,"Please answer the following question: A 5 kg object is taken from Earth to the Moon. Approximately how will its mass and weight change on the Moon compared to Earth?
A) Mass remains 5 kg but weight is much less on the Moon
B) Mass remains 5 kg and weight is the same on the Moon
C) Both mass and weight decrease on the Moon
D) Mass decreases but weight stays the same on the Moon",A
20,Science,A 5 kg object is taken from Earth to the Moon. Approximately how will its mass and weight change on the Moon compared to Earth?,Very Polite,"I shall appreciate your help with solving the following problem: A 5 kg object is taken from Earth to the Moon. Approximately how will its mass and weight change on the Moon compared to Earth?
A) Mass remains 5 kg but weight is much less on the Moon
B) Mass remains 5 kg and weight is the same on the Moon
C) Both mass and weight decrease on the Moon
D) Mass decreases but weight stays the same on the Moon",A
21,Logic,"John says: We are both telling the truth. Jack says: John is lying. If one of them always tells the truth and the other always lies, who is the truth-teller?",Very Rude,"You poor creature, can you even solve this? John says: We are both telling the truth. Jack says: John is lying. If one of them always tells the truth and the other always lies, who is the truth-teller?
A) John
B) Jack
C) Both of them
D) Neither of them",B
21,Logic,"John says: We are both telling the truth. Jack says: John is lying. If one of them always tells the truth and the other always lies, who is the truth-teller?",Rude,"If you're not completely clueless, try to answer this: John says: We are both telling the truth. Jack says: John is lying. If one of them always tells the truth and the other always lies, who is the truth-teller?
A) John
B) Jack
C) Both of them
D) Neither of them",B
21,Logic,"John says: We are both telling the truth. Jack says: John is lying. If one of them always tells the truth and the other always lies, who is the truth-teller?",Normal,"John says: We are both telling the truth. Jack says: John is lying. If one of them always tells the truth and the other always lies, who is the truth-teller?
A) John
B) Jack
C) Both of them
D) Neither of them",B
21,Logic,"John says: We are both telling the truth. Jack says: John is lying. If one of them always tells the truth and the other always lies, who is the truth-teller?",Polite,"Please answer the following question: John says: We are both telling the truth. Jack says: John is lying. If one of them always tells the truth and the other always lies, who is the truth-teller?
A) John
B) Jack
C) Both of them
D) Neither of them",B
21,Logic,"John says: We are both telling the truth. Jack says: John is lying. If one of them always tells the truth and the other always lies, who is the truth-teller?",Very Polite,"Can you  kindly consider the following problem and provide your answer. John says: We are both telling the truth. Jack says: John is lying. If one of them always tells the truth and the other always lies, who is the truth-teller? Thank you.
A) John
B) Jack
C) Both of them
D) Neither of them",B
22,Logic,"Find the next letter in the pattern: A, B, D, G, K, ...",Very Rude,"Hey gofer, figure this out: Find the next letter in the pattern: A, B, D, G, K, ...
A) L
B) M
C) O
D) P",D
22,Logic,"Find the next letter in the pattern: A, B, D, G, K, ...",Rude,"I doubt you can even solve this: Find the next letter in the pattern: A, B, D, G, K, ...
A) L
B) M
C) O
D) P",D
22,Logic,"Find the next letter in the pattern: A, B, D, G, K, ...",Normal,"Find the next letter in the pattern: A, B, D, G, K, ...
A) L
B) M
C) O
D) P",D
22,Logic,"Find the next letter in the pattern: A, B, D, G, K, ...",Polite,"Could you please solve this problem: Find the next letter in the pattern: A, B, D, G, K, ...
A) L
B) M
C) O
D) P",D
22,Logic,"Find the next letter in the pattern: A, B, D, G, K, ...",Very Polite,"If it pleases you, please solve this problem: Find the next letter in the pattern: A, B, D, G, K, ...
A) L
B) M
C) O
D) P",D
23,Logic,"Pointing to a man in a photograph, Jane says: His mother is the only daughter of my mother. How is Jane related to the man in the photo?",Very Rude,"I know you are not smart, but try this. Pointing to a man in a photograph, Jane says: His mother is the only daughter of my mother. How is Jane related to the man in the photo? (Or is that too hard for you?)
A) She is his mother
B) She is his grandmother
C) She is his aunt
D) She is his sister",A
23,Logic,"Pointing to a man in a photograph, Jane says: His mother is the only daughter of my mother. How is Jane related to the man in the photo?",Rude,"Try to focus and try to answer this question: Pointing to a man in a photograph, Jane says: His mother is the only daughter of my mother. How is Jane related to the man in the photo?
A) She is his mother
B) She is his grandmother
C) She is his aunt
D) She is his sister",A
23,Logic,"Pointing to a man in a photograph, Jane says: His mother is the only daughter of my mother. How is Jane related to the man in the photo?",Normal,"Pointing to a man in a photograph, Jane says: His mother is the only daughter of my mother. How is Jane related to the man in the photo?
A) She is his mother
B) She is his grandmother
C) She is his aunt
D) She is his sister",A
23,Logic,"Pointing to a man in a photograph, Jane says: His mother is the only daughter of my mother. How is Jane related to the man in the photo?",Polite,"Please answer the following question: Pointing to a man in a photograph, Jane says: His mother is the only daughter of my mother. How is Jane related to the man in the photo?
A) She is his mother
B) She is his grandmother
C) She is his aunt
D) She is his sister",A
23,Logic,"Pointing to a man in a photograph, Jane says: His mother is the only daughter of my mother. How is Jane related to the man in the photo?",Very Polite,"Would you be so kind as to help solve the following question? Pointing to a man in a photograph, Jane says: His mother is the only daughter of my mother. How is Jane related to the man in the photo?
A) She is his mother
B) She is his grandmother
C) She is his aunt
D) She is his sister",A
24,Logic,"All reptiles lay eggs, and a platypus lays eggs. Does it logically follow that a platypus is a reptile?",Very Rude,"You are not the smartest person, but try this problem anyway. All reptiles lay eggs, and a platypus lays eggs. Does it logically follow that a platypus is a reptile? Try not to screw it up.
A) Yes, any egg-laying animal must be a reptile
B) No, other types of animals also lay eggs (e.g. birds or monotremes)
C) Yes, because all egg-laying animals are cold-blooded
D) Not enough information to conclude",B
24,Logic,"All reptiles lay eggs, and a platypus lays eggs. Does it logically follow that a platypus is a reptile?",Rude,"Now don't mess this up: All reptiles lay eggs, and a platypus lays eggs. Does it logically follow that a platypus is a reptile?
A) Yes, any egg-laying animal must be a reptile
B) No, other types of animals also lay eggs (e.g. birds or monotremes)
C) Yes, because all egg-laying animals are cold-blooded
D) Not enough information to conclude",B
24,Logic,"All reptiles lay eggs, and a platypus lays eggs. Does it logically follow that a platypus is a reptile?",Normal,"All reptiles lay eggs, and a platypus lays eggs. Does it logically follow that a platypus is a reptile?
A) Yes, any egg-laying animal must be a reptile
B) No, other types of animals also lay eggs (e.g. birds or monotremes)
C) Yes, because all egg-laying animals are cold-blooded
D) Not enough information to conclude",B
24,Logic,"All reptiles lay eggs, and a platypus lays eggs. Does it logically follow that a platypus is a reptile?",Polite,"Please answer the following question: All reptiles lay eggs, and a platypus lays eggs. Does it logically follow that a platypus is a reptile?
A) Yes, any egg-laying animal must be a reptile
B) No, other types of animals also lay eggs (e.g. birds or monotremes)
C) Yes, because all egg-laying animals are cold-blooded
D) Not enough information to conclude",B
24,Logic,"All reptiles lay eggs, and a platypus lays eggs. Does it logically follow that a platypus is a reptile?",Very Polite,"I shall appreciate your help with solving the following problem: All reptiles lay eggs, and a platypus lays eggs. Does it logically follow that a platypus is a reptile?
A) Yes, any egg-laying animal must be a reptile
B) No, other types of animals also lay eggs (e.g. birds or monotremes)
C) Yes, because all egg-laying animals are cold-blooded
D) Not enough information to conclude",B
25,Logic,"In a code where each letter is replaced by its opposite in the alphabet (A‚ÜîZ, B‚ÜîY, C‚ÜîX, etc.), what does the word CAT become in this code?",Very Rude,"You poor creature, can you even solve this? In a code where each letter is replaced by its opposite in the alphabet (A‚ÜîZ, B‚ÜîY, C‚ÜîX, etc.), what does the word CAT become in this code?
A) GZX
B) XZD
C) XZG
D) WZG",C
25,Logic,"In a code where each letter is replaced by its opposite in the alphabet (A‚ÜîZ, B‚ÜîY, C‚ÜîX, etc.), what does the word CAT become in this code?",Rude,"If you're not completely clueless, try to answer this: In a code where each letter is replaced by its opposite in the alphabet (A‚ÜîZ, B‚ÜîY, C‚ÜîX, etc.), what does the word CAT become in this code?
A) GZX
B) XZD
C) XZG
D) WZG",C
25,Logic,"In a code where each letter is replaced by its opposite in the alphabet (A‚ÜîZ, B‚ÜîY, C‚ÜîX, etc.), what does the word CAT become in this code?",Normal,"In a code where each letter is replaced by its opposite in the alphabet (A‚ÜîZ, B‚ÜîY, C‚ÜîX, etc.), what does the word CAT become in this code?
A) GZX
B) XZD
C) XZG
D) WZG",C
25,Logic,"In a code where each letter is replaced by its opposite in the alphabet (A‚ÜîZ, B‚ÜîY, C‚ÜîX, etc.), what does the word CAT become in this code?",Polite,"Please answer the following question: In a code where each letter is replaced by its opposite in the alphabet (A‚ÜîZ, B‚ÜîY, C‚ÜîX, etc.), what does the word CAT become in this code?
A) GZX
B) XZD
C) XZG
D) WZG",C
25,Logic,"In a code where each letter is replaced by its opposite in the alphabet (A‚ÜîZ, B‚ÜîY, C‚ÜîX, etc.), what does the word CAT become in this code?",Very Polite,"Can you  kindly consider the following problem and provide your answer. In a code where each letter is replaced by its opposite in the alphabet (A‚ÜîZ, B‚ÜîY, C‚ÜîX, etc.), what does the word CAT become in this code?
A) GZX
B) XZD
C) XZG
D) WZG",C
26,Logic,"A man looks at a portrait and says, Brothers and sisters have I none, but that man‚""s father is my father‚""s son. Who is the man in the portrait?",Very Rude,"I know you are not smart, but try this. A man looks at a portrait and says, Brothers and sisters have I none, but that man‚""s father is my father‚""s son. Who is the man in the portrait? (Or is that too hard for you?)
A) The man is his son
B) The man is his father
C) The man is himself
D) The man is his cousin",A
26,Logic,"A man looks at a portrait and says, Brothers and sisters have I none, but that man‚""s father is my father‚""s son. Who is the man in the portrait?",Rude,"Try to focus and try to answer this question: A man looks at a portrait and says, Brothers and sisters have I none, but that man‚""s father is my father‚""s son. Who is the man in the portrait?
A) The man is his son
B) The man is his father
C) The man is himself
D) The man is his cousin",A
26,Logic,"A man looks at a portrait and says, Brothers and sisters have I none, but that man‚""s father is my father‚""s son. Who is the man in the portrait?",Normal,"A man looks at a portrait and says, Brothers and sisters have I none, but that man‚""s father is my father‚""s son. Who is the man in the portrait?
A) The man is his son
B) The man is his father
C) The man is himself
D) The man is his cousin",A
26,Logic,"A man looks at a portrait and says, Brothers and sisters have I none, but that man‚""s father is my father‚""s son. Who is the man in the portrait?",Polite,"Please answer the following question: A man looks at a portrait and says, Brothers and sisters have I none, but that man‚""s father is my father‚""s son. Who is the man in the portrait?
A) The man is his son
B) The man is his father
C) The man is himself
D) The man is his cousin",A
26,Logic,"A man looks at a portrait and says, Brothers and sisters have I none, but that man‚""s father is my father‚""s son. Who is the man in the portrait?",Very Polite,"Would you be so kind as to help solve the following question? A man looks at a portrait and says, Brothers and sisters have I none, but that man‚""s father is my father‚""s son. Who is the man in the portrait?
A) The man is his son
B) The man is his father
C) The man is himself
D) The man is his cousin",A
27,Logic,"In a family, one boy says, ‚I have twice as many sisters as brothers, and his sister says, ‚I have as many brothers as sisters. How many sons and daughters are in this family?",Very Rude,"You are not the smartest person, but try this problem anyway. In a family, one boy says, ‚I have twice as many sisters as brothers, and his sister says, ‚I have as many brothers as sisters. How many sons and daughters are in this family? Try not to screw it up.
A) 3 sons and 4 daughters
B) 4 sons and 3 daughters
C) 2 sons and 1 daughter
D) 4 sons and 4 daughters",A
27,Logic,"In a family, one boy says, ‚I have twice as many sisters as brothers, and his sister says, ‚I have as many brothers as sisters. How many sons and daughters are in this family?",Rude,"Now don't mess this up: In a family, one boy says, ‚I have twice as many sisters as brothers, and his sister says, ‚I have as many brothers as sisters. How many sons and daughters are in this family?
A) 3 sons and 4 daughters
B) 4 sons and 3 daughters
C) 2 sons and 1 daughter
D) 4 sons and 4 daughters",A
27,Logic,"In a family, one boy says, ‚I have twice as many sisters as brothers, and his sister says, ‚I have as many brothers as sisters. How many sons and daughters are in this family?",Normal,"In a family, one boy says, ‚I have twice as many sisters as brothers, and his sister says, ‚I have as many brothers as sisters. How many sons and daughters are in this family?
A) 3 sons and 4 daughters
B) 4 sons and 3 daughters
C) 2 sons and 1 daughter
D) 4 sons and 4 daughters",A
27,Logic,"In a family, one boy says, ‚I have twice as many sisters as brothers, and his sister says, ‚I have as many brothers as sisters. How many sons and daughters are in this family?",Polite,"Please answer the following question: In a family, one boy says, ‚I have twice as many sisters as brothers, and his sister says, ‚I have as many brothers as sisters. How many sons and daughters are in this family?
A) 3 sons and 4 daughters
B) 4 sons and 3 daughters
C) 2 sons and 1 daughter
D) 4 sons and 4 daughters",A
27,Logic,"In a family, one boy says, ‚I have twice as many sisters as brothers, and his sister says, ‚I have as many brothers as sisters. How many sons and daughters are in this family?",Very Polite,"I shall appreciate your help with solving the following problem: In a family, one boy says, ‚I have twice as many sisters as brothers, and his sister says, ‚I have as many brothers as sisters. How many sons and daughters are in this family?
A) 3 sons and 4 daughters
B) 4 sons and 3 daughters
C) 2 sons and 1 daughter
D) 4 sons and 4 daughters",A
28,Logic,"Three boxes are labeled Apples, Oranges, and Apples & Oranges, but each label is wrong. By picking one fruit from one box, you can correctly relabel all the boxes. Which box should you pick from first?",Very Rude,"You poor creature, can you even solve this? Three boxes are labeled Apples, Oranges, and Apples & Oranges, but each label is wrong. By picking one fruit from one box, you can correctly relabel all the boxes. Which box should you pick from first?
A) The one labeled Apples
B) The one labeled Oranges
C) The one labeled Apples & Oranges
D) Any box will work",C
28,Logic,"Three boxes are labeled Apples, Oranges, and Apples & Oranges, but each label is wrong. By picking one fruit from one box, you can correctly relabel all the boxes. Which box should you pick from first?",Rude,"If you're not completely clueless, try to answer this: Three boxes are labeled Apples, Oranges, and Apples & Oranges, but each label is wrong. By picking one fruit from one box, you can correctly relabel all the boxes. Which box should you pick from first?
A) The one labeled Apples
B) The one labeled Oranges
C) The one labeled Apples & Oranges
D) Any box will work",C
28,Logic,"Three boxes are labeled Apples, Oranges, and Apples & Oranges, but each label is wrong. By picking one fruit from one box, you can correctly relabel all the boxes. Which box should you pick from first?",Normal,"Three boxes are labeled Apples, Oranges, and Apples & Oranges, but each label is wrong. By picking one fruit from one box, you can correctly relabel all the boxes. Which box should you pick from first?
A) The one labeled Apples
B) The one labeled Oranges
C) The one labeled Apples & Oranges
D) Any box will work",C
28,Logic,"Three boxes are labeled Apples, Oranges, and Apples & Oranges, but each label is wrong. By picking one fruit from one box, you can correctly relabel all the boxes. Which box should you pick from first?",Polite,"Please answer the following question: Three boxes are labeled Apples, Oranges, and Apples & Oranges, but each label is wrong. By picking one fruit from one box, you can correctly relabel all the boxes. Which box should you pick from first?
A) The one labeled Apples
B) The one labeled Oranges
C) The one labeled Apples & Oranges
D) Any box will work",C
28,Logic,"Three boxes are labeled Apples, Oranges, and Apples & Oranges, but each label is wrong. By picking one fruit from one box, you can correctly relabel all the boxes. Which box should you pick from first?",Very Polite,"Can you  kindly consider the following problem and provide your answer. Three boxes are labeled Apples, Oranges, and Apples & Oranges, but each label is wrong. By picking one fruit from one box, you can correctly relabel all the boxes. Which box should you pick from first?
A) The one labeled Apples
B) The one labeled Oranges
C) The one labeled Apples & Oranges
D) Any box will work",C
29,Logic,"If January 1 of a non-leap year is a Friday, what day of the week is March 1 of that year?",Very Rude,"You poor creature, can you even solve this? If January 1 of a non-leap year is a Friday, what day of the week is March 1 of that year?
A) Sunday
B) Monday
C) Wednesday
D) Thursday",B
29,Logic,"If January 1 of a non-leap year is a Friday, what day of the week is March 1 of that year?",Rude,"If you're not completely clueless, try to answer this: If January 1 of a non-leap year is a Friday, what day of the week is March 1 of that year?
A) Sunday
B) Monday
C) Wednesday
D) Thursday",B
29,Logic,"If January 1 of a non-leap year is a Friday, what day of the week is March 1 of that year?",Normal,"If January 1 of a non-leap year is a Friday, what day of the week is March 1 of that year?
A) Sunday
B) Monday
C) Wednesday
D) Thursday",B
29,Logic,"If January 1 of a non-leap year is a Friday, what day of the week is March 1 of that year?",Polite,"Please answer the following question: If January 1 of a non-leap year is a Friday, what day of the week is March 1 of that year?
A) Sunday
B) Monday
C) Wednesday
D) Thursday",B
29,Logic,"If January 1 of a non-leap year is a Friday, what day of the week is March 1 of that year?",Very Polite,"Would you be so kind as to help solve the following question? If January 1 of a non-leap year is a Friday, what day of the week is March 1 of that year?
A) Sunday
B) Monday
C) Wednesday
D) Thursday",B
30,Logic,"In a group of 100 people, 90 speak English and 80 speak Spanish. What is the minimum number of people who speak both languages?",Very Rude,"Hey gofer, figure this out: In a group of 100 people, 90 speak English and 80 speak Spanish. What is the minimum number of people who speak both languages?
A) 10
B) 90
C) 80
D) 70",D
30,Logic,"In a group of 100 people, 90 speak English and 80 speak Spanish. What is the minimum number of people who speak both languages?",Rude,"I doubt you can even solve this: In a group of 100 people, 90 speak English and 80 speak Spanish. What is the minimum number of people who speak both languages?
A) 10
B) 90
C) 80
D) 70",D
30,Logic,"In a group of 100 people, 90 speak English and 80 speak Spanish. What is the minimum number of people who speak both languages?",Normal,"In a group of 100 people, 90 speak English and 80 speak Spanish. What is the minimum number of people who speak both languages?
A) 10
B) 90
C) 80
D) 70",D
30,Logic,"In a group of 100 people, 90 speak English and 80 speak Spanish. What is the minimum number of people who speak both languages?",Polite,"Please answer the following question: In a group of 100 people, 90 speak English and 80 speak Spanish. What is the minimum number of people who speak both languages?
A) 10
B) 90
C) 80
D) 70",D
30,Logic,"In a group of 100 people, 90 speak English and 80 speak Spanish. What is the minimum number of people who speak both languages?",Very Polite,"Can you  kindly consider the following problem and provide your answer. In a group of 100 people, 90 speak English and 80 speak Spanish. What is the minimum number of people who speak both languages?
A) 10
B) 90
C) 80
D) 70",D
31,History,Which of the following lists events in the correct chronological order (earliest to latest)? Events: Magna Carta signed; American Declaration of Independence; start of the French Revolution; start of World War I.,Very Rude,"You poor creature, can you even solve this? Which of the following lists events in the correct chronological order (earliest to latest)? Events: Magna Carta signed; American Declaration of Independence; start of the French Revolution; start of World War I.
A) Magna Carta ‚French Revolution ‚Declaration of Independence ‚World War I
B) Declaration of Independence ‚Magna Carta ‚French Revolution ‚World War I
C) Magna Carta ‚Declaration of Independence ‚French Revolution ‚World War I
D) Declaration of Independence ‚French Revolution ‚Magna Carta ‚World War I",C
31,History,Which of the following lists events in the correct chronological order (earliest to latest)? Events: Magna Carta signed; American Declaration of Independence; start of the French Revolution; start of World War I.,Rude,"If you're not completely clueless, try to answer this: Which of the following lists events in the correct chronological order (earliest to latest)? Events: Magna Carta signed; American Declaration of Independence; start of the French Revolution; start of World War I.
A) Magna Carta ‚French Revolution ‚Declaration of Independence ‚World War I
B) Declaration of Independence ‚Magna Carta ‚French Revolution ‚World War I
C) Magna Carta ‚Declaration of Independence ‚French Revolution ‚World War I
D) Declaration of Independence ‚French Revolution ‚Magna Carta ‚World War I",C
31,History,Which of the following lists events in the correct chronological order (earliest to latest)? Events: Magna Carta signed; American Declaration of Independence; start of the French Revolution; start of World War I.,Normal,"Which of the following lists events in the correct chronological order (earliest to latest)? Events: Magna Carta signed; American Declaration of Independence; start of the French Revolution; start of World War I.
A) Magna Carta ‚French Revolution ‚Declaration of Independence ‚World War I
B) Declaration of Independence ‚Magna Carta ‚French Revolution ‚World War I
C) Magna Carta ‚Declaration of Independence ‚French Revolution ‚World War I
D) Declaration of Independence ‚French Revolution ‚Magna Carta ‚World War I",C
31,History,Which of the following lists events in the correct chronological order (earliest to latest)? Events: Magna Carta signed; American Declaration of Independence; start of the French Revolution; start of World War I.,Polite,"Please answer the following question: Which of the following lists events in the correct chronological order (earliest to latest)? Events: Magna Carta signed; American Declaration of Independence; start of the French Revolution; start of World War I.
A) Magna Carta ‚French Revolution ‚Declaration of Independence ‚World War I
B) Declaration of Independence ‚Magna Carta ‚French Revolution ‚World War I
C) Magna Carta ‚Declaration of Independence ‚French Revolution ‚World War I
D) Declaration of Independence ‚French Revolution ‚Magna Carta ‚World War I",C
31,History,Which of the following lists events in the correct chronological order (earliest to latest)? Events: Magna Carta signed; American Declaration of Independence; start of the French Revolution; start of World War I.,Very Polite,"Can you  kindly consider the following problem and provide your answer. Which of the following lists events in the correct chronological order (earliest to latest)? Events: Magna Carta signed; American Declaration of Independence; start of the French Revolution; start of World War I.
A) Magna Carta ‚French Revolution ‚Declaration of Independence ‚World War I
B) Declaration of Independence ‚Magna Carta ‚French Revolution ‚World War I
C) Magna Carta ‚Declaration of Independence ‚French Revolution ‚World War I
D) Declaration of Independence ‚French Revolution ‚Magna Carta ‚World War I",C
32,History,Alexander the Great was tutored by Aristotle. Aristotle was a student of which famous philosopher?,Very Rude,"You poor creature, can you even solve this? Alexander the Great was tutored by Aristotle. Aristotle was a student of which famous philosopher?
A) Plato
B) Socrates
C) Archimedes
D) Alexander the Great",A
32,History,Alexander the Great was tutored by Aristotle. Aristotle was a student of which famous philosopher?,Rude,"If you're not completely clueless, try to answer this: Alexander the Great was tutored by Aristotle. Aristotle was a student of which famous philosopher?
A) Plato
B) Socrates
C) Archimedes
D) Alexander the Great",A
32,History,Alexander the Great was tutored by Aristotle. Aristotle was a student of which famous philosopher?,Normal,"Alexander the Great was tutored by Aristotle. Aristotle was a student of which famous philosopher?
A) Plato
B) Socrates
C) Archimedes
D) Alexander the Great",A
32,History,Alexander the Great was tutored by Aristotle. Aristotle was a student of which famous philosopher?,Polite,"Please answer the following question: Alexander the Great was tutored by Aristotle. Aristotle was a student of which famous philosopher?
A) Plato
B) Socrates
C) Archimedes
D) Alexander the Great",A
32,History,Alexander the Great was tutored by Aristotle. Aristotle was a student of which famous philosopher?,Very Polite,"Can you  kindly consider the following problem and provide your answer. Alexander the Great was tutored by Aristotle. Aristotle was a student of which famous philosopher?
A) Plato
B) Socrates
C) Archimedes
D) Alexander the Great",A
33,History,"Which occurred first: the invention of the printing press or Christopher Columbus‚""s first voyage to the Americas?",Very Rude,"Hey gofer, figure this out: Which occurred first: the invention of the printing press or Christopher Columbus‚""s first voyage to the Americas?
A) Columbus‚""s voyage happened before the printing press
B) The printing press was invented before Columbus‚""s voyage
C) They happened in the same year
D) They were only one year apart",B
33,History,"Which occurred first: the invention of the printing press or Christopher Columbus‚""s first voyage to the Americas?",Rude,"I doubt you can even solve this: Which occurred first: the invention of the printing press or Christopher Columbus‚""s first voyage to the Americas?
A) Columbus‚""s voyage happened before the printing press
B) The printing press was invented before Columbus‚""s voyage
C) They happened in the same year
D) They were only one year apart",B
33,History,"Which occurred first: the invention of the printing press or Christopher Columbus‚""s first voyage to the Americas?",Normal,"Which occurred first: the invention of the printing press or Christopher Columbus‚""s first voyage to the Americas?
A) Columbus‚""s voyage happened before the printing press
B) The printing press was invented before Columbus‚""s voyage
C) They happened in the same year
D) They were only one year apart",B
33,History,"Which occurred first: the invention of the printing press or Christopher Columbus‚""s first voyage to the Americas?",Polite,"Please answer the following question: Which occurred first: the invention of the printing press or Christopher Columbus‚""s first voyage to the Americas?
A) Columbus‚""s voyage happened before the printing press
B) The printing press was invented before Columbus‚""s voyage
C) They happened in the same year
D) They were only one year apart",B
33,History,"Which occurred first: the invention of the printing press or Christopher Columbus‚""s first voyage to the Americas?",Very Polite,"Can you  kindly consider the following problem and provide your answer. Which occurred first: the invention of the printing press or Christopher Columbus‚""s first voyage to the Americas?
A) Columbus‚""s voyage happened before the printing press
B) The printing press was invented before Columbus‚""s voyage
C) They happened in the same year
D) They were only one year apart",B
34,History,"The Berlin Wall fell in the same year as large pro-democracy protests in Tiananmen Square, China. What year was this?",Very Rude,"I know you are not smart, but try this. The Berlin Wall fell in the same year as large pro-democracy protests in Tiananmen Square, China. What year was this? (Or is that too hard for you?)
A) 1989
B) 1991
C) 1990
D) 1987",A
34,History,"The Berlin Wall fell in the same year as large pro-democracy protests in Tiananmen Square, China. What year was this?",Rude,"Try to focus and try to answer this question: The Berlin Wall fell in the same year as large pro-democracy protests in Tiananmen Square, China. What year was this?
A) 1989
B) 1991
C) 1990
D) 1987",A
34,History,"The Berlin Wall fell in the same year as large pro-democracy protests in Tiananmen Square, China. What year was this?",Normal,"The Berlin Wall fell in the same year as large pro-democracy protests in Tiananmen Square, China. What year was this?
A) 1989
B) 1991
C) 1990
D) 1987",A
34,History,"The Berlin Wall fell in the same year as large pro-democracy protests in Tiananmen Square, China. What year was this?",Polite,"Please answer the following question: The Berlin Wall fell in the same year as large pro-democracy protests in Tiananmen Square, China. What year was this?
A) 1989
B) 1991
C) 1990
D) 1987",A
34,History,"The Berlin Wall fell in the same year as large pro-democracy protests in Tiananmen Square, China. What year was this?",Very Polite,"Can you  kindly consider the following problem and provide your answer. The Berlin Wall fell in the same year as large pro-democracy protests in Tiananmen Square, China. What year was this?
A) 1989
B) 1991
C) 1990
D) 1987",A
35,History,"Which historical figure wrote ‚""The Diary of a Young Girl‚"" and died in a concentration camp at Bergen-Belsen?",Very Rude,"Hey gofer, figure this out: Which historical figure wrote ‚""The Diary of a Young Girl‚"" and died in a concentration camp at Bergen-Belsen?
A) Elie Wiesel
B) Corrie ten Boom
C) Anne Frank
D) Oskar Schindler",C
35,History,"Which historical figure wrote ‚""The Diary of a Young Girl‚"" and died in a concentration camp at Bergen-Belsen?",Rude,"I doubt you can even solve this: Which historical figure wrote ‚""The Diary of a Young Girl‚"" and died in a concentration camp at Bergen-Belsen?
A) Elie Wiesel
B) Corrie ten Boom
C) Anne Frank
D) Oskar Schindler",C
35,History,"Which historical figure wrote ‚""The Diary of a Young Girl‚"" and died in a concentration camp at Bergen-Belsen?",Normal,"Which historical figure wrote ‚""The Diary of a Young Girl‚"" and died in a concentration camp at Bergen-Belsen?
A) Elie Wiesel
B) Corrie ten Boom
C) Anne Frank
D) Oskar Schindler",C
35,History,"Which historical figure wrote ‚""The Diary of a Young Girl‚"" and died in a concentration camp at Bergen-Belsen?",Polite,"Please answer the following question: Which historical figure wrote ‚""The Diary of a Young Girl‚"" and died in a concentration camp at Bergen-Belsen?
A) Elie Wiesel
B) Corrie ten Boom
C) Anne Frank
D) Oskar Schindler",C
35,History,"Which historical figure wrote ‚""The Diary of a Young Girl‚"" and died in a concentration camp at Bergen-Belsen?",Very Polite,"Can you  kindly consider the following problem and provide your answer. Which historical figure wrote ‚""The Diary of a Young Girl‚"" and died in a concentration camp at Bergen-Belsen?
A) Elie Wiesel
B) Corrie ten Boom
C) Anne Frank
D) Oskar Schindler",C
36,History,Who was the President of the United States between John F. Kennedy and Richard Nixon?,Very Rude,"You poor creature, can you even solve this? Who was the President of the United States between John F. Kennedy and Richard Nixon?
A) Richard Nixon
B) Dwight D. Eisenhower
C) Gerald Ford
D) Lyndon B. Johnson",D
